a,a
b,be
c,ce
ç,ce trencada
d,de
e,e
f,efa
g,ge
h,hac
i,i
j,jota
k,ka
l,ela
m,ema
n,ena
o,o
p,pe
q,cu
r,erra
s,essa
t,te
u,u
v,ve baixa
w,ve doble
x,ics
y,i grega
z,zeta
